customer_id,name,email,address,registration_date,loyalty_status,dial_num
1,Michelle Kidd,vayala@example.net,"USNS Santiago, FPO AE 80872",2025-01-25,Gold,+1-619-723-4258
2,Brad Newton,taylorcatherine@example.net,"38783 Oliver Street, West Kristenborough, MT 99752",2023-07-13,Silver,+1-537-674-1158
3,Larry Torres,dsanchez@example.net,"6845 Steele Turnpike, West Erikabury, UT 37487",2023-08-18,Bronze,+1-810-256-4505
4,Kimberly Price,jessicaknight@example.com,"1631 Alexis Meadows, Lake Amanda, CA 75179",2024-12-08,Gold,+1-423-222-9779
5,Matthew Phillips,qwilliams@example.com,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",2024-02-03,Gold,+1-220-763-3522
6,Darrell Gallagher DVM,larryharris@example.org,"19887 Brandon Bridge, New Rebecca, MA 94947",2025-03-03,Bronze,+1-379-950-3695
7,Louis Miller,patriciaelliott@example.org,"02590 Marshall Well, Sheppardland, CT 88067",2024-09-30,Gold,+1-198-862-7105
8,Melissa Galloway MD,watsonbenjamin@example.net,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",2023-10-06,Bronze,+1-548-549-9586
9,Matthew Harvey,bgaines@example.net,"60123 Davis Ford, Mistychester, WA 69400",2024-10-31,Silver,+1-581-144-7338
10,Rachel White,whitemichael@example.org,"6182 Brown Mountain, South Gary, IL 29016",2024-02-25,Bronze,+1-410-729-9740
11,Nicole Yang,archerheather@example.org,"923 Emily Mills Apt. 281, Port Roy, WI 03921",2025-03-08,Bronze,+1-589-638-7173
12,Christine Delgado,yfarrell@example.net,"PSC 4025, Box 2078, APO AA 61121",2024-04-18,Bronze,+1-310-834-9008
13,Joseph Brennan,khernandez@example.com,"8890 Keller Hills, North Paul, FM 64749",2024-04-28,Gold,+1-486-789-1647
14,Eric Thomas,spencer75@example.com,"352 Joel Extension Suite 962, New Anthony, CO 33299",2024-05-09,Bronze,+1-434-130-5478
15,Laura Perez,sdavid@example.com,"1518 Green Locks Suite 348, New Brent, FM 51849",2024-12-04,Gold,+1-319-310-5560
16,Erin Matthews,uhunter@example.net,"67623 Morgan Hollow, Hillshire, IL 78665",2023-11-12,Bronze,+1-480-780-3711
17,Melissa Alvarado,parkjohn@example.net,"USNS Austin, FPO AP 52643",2024-06-24,Gold,+1-411-857-4974
18,Mr. Ernest Dunn,kelseybrown@example.net,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",2025-01-27,Gold,+1-687-543-7471
19,David Johnson,marynelson@example.org,"992 Harris Pines Suite 049, North Marychester, PW 73177",2025-02-21,Silver,+1-244-439-2274
20,Wayne Morales,qwilliams@example.com,"15344 Hill Pike, Matthewport, FL 45434",2025-02-22,Gold,+1-875-559-3832
21,Michael Vincent,jonesjeffrey@example.com,"455 Moore Orchard, New Richardhaven, RI 42023",2024-06-13,Silver,+1-685-935-4111
22,Tammie Mcgee,nsullivan@example.com,"6371 Long Path Apt. 940, South Anthonyton, MT 86683",2024-10-24,Silver,+1-176-840-2659
23,Marisa Martinez,zward@example.org,"5029 Wall Mountain Suite 847, New Chelseabury, IA 90393",2025-03-29,Bronze,+1-221-609-1291
24,Crystal Peterson,taylorcharles@example.com,"Unit 5741 Box 1124, DPO AA 18219",2023-08-07,Bronze,+1-430-711-1833
25,Jeremy Alexander,smithkevin@example.com,"1520 Reid Turnpike, Clarkville, CA 39102",2025-06-13,Silver,+1-119-969-9309
26,James Graham,chawkins@example.net,"2809 Young Squares, Lisaside, VA 53732",2024-03-10,Gold,+1-997-656-7695
27,William Morrison,browningdavid@example.org,"76577 Keith Falls, West Melissashire, NC 55275",2024-08-01,Gold,+1-486-676-8923
28,Brandon Hall,brandon_hall@example.com,"8143 Robert Cove Apt. 103, Sanchezport, CO 78231",2024-04-07,Gold,+1-974-123-3048
29,Morgan Wilson,michelle12@example.net,"05880 Hudson Row, Jessefurt, KS 54128",2024-11-04,Silver,+1-258-480-2466
30,Heather Hill,qwillis@example.com,"4339 Brown Crescent, Lambchester, SD 62832",2024-12-15,Silver,+1-442-456-8115
31,Louis Beasley,bjones@example.net,"71975 Smith Drive Suite 746, Bairdmouth, MP 70886",2023-09-18,Bronze,+1-234-311-3270
32,Julie Shelton,ryanpatel@example.net,"USNS Brown, FPO AP 55711",2024-12-02,Gold,+1-307-103-5146
33,Erin Stephens,kyle83@example.com,"5911 Amy Creek Suite 329, Michaelside, CO 25722",2024-08-02,Silver,+1-649-443-8577
34,Christopher Powers,nsimmons@example.com,"27599 David Mews, Juliefort, AL 92098",2024-06-09,Silver,+1-341-277-2276
35,Rachel Lang,huntcourtney@example.org,"PSC 5662, Box 7419, APO AA 70596",2024-11-13,Silver,+1-343-776-8211
36,Christopher Clark,christopher_clark@example.com,"2325 Danielle Knolls Suite 719, Gabrielleview, MT 11649",2024-01-13,Gold,+1-119-609-3438
37,Jessica Hardy,cherylray@example.org,"8293 Martin Ridges Apt. 444, Lake Erikfort, MH 63270",2024-08-13,Gold,+1-244-875-7801
